古	2	target	十口	コ,ふる.い,ふる-,-ふる.す	ふるい、コ	vanha	古い[ふるい] (yleisyys: 1190.),古代[こだい] (yleisyys: 2464.),古典[こてん] (yleisyys: 4049.),稽古[けいこ] (yleisyys: 4502.),古墳[こふん] (yleisyys: 4728.)	古い・ふるい	vanha	中古・ちゅうこ	käytetty												Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/古%23kanji">古 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
新	2	target	亲斤	シン,あたら.しい,あら.た,あら-,にい-	あたらしい、シン	uusi	新しい[あたらしい] (yleisyys: 388.),新[しん] (yleisyys: 451.),新聞[しんぶん] (yleisyys: 664.),新た[あらた] (yleisyys: 920.),更新[こうしん] (yleisyys: 2114.)	新しい・あたらしい	uusi	新年・しんねん	uusivuosi												Merkin vetojen lukumäärä: 13 <br> <a href="https://jisho.org/search/新%23kanji">新 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
明	2	target	日月	メイ,ミョウ,ミン,あ.かり,あか.るい,あか.るむ,あか.らむ,あき.らか,あ.ける,-あ.け,あ.く,あ.くる,あ.かす	あかるい	Kanjin merkityksiä englanniksi: bright, light;	説明[せつめい] (yleisyys: 374.),明らか[あきらか] (yleisyys: 732.),明日[あす] (yleisyys: 910.),明治[めいじ] (yleisyys: 1038.),明るい[あかるい] (yleisyys: 1374.)	明日・あした	huominen	明るい・あかるい	kirkas, valoisa; iloinen												Merkin vetojen lukumäärä: 8 <br> <a href="https://jisho.org/search/明%23kanji">明 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
音	2	target	音	オン,イン,-ノン,おと,ね	おと、オン	ääni	音[おと] (yleisyys: 572.),音楽[おんがく] (yleisyys: 849.),音[おん] (yleisyys: 3470.),音声[おんせい] (yleisyys: 4341.),録音[ろくおん] (yleisyys: 4373.)	音・おと	ääni	音楽・おんがく	musiikki												Merkin vetojen lukumäärä: 9 <br> <a href="https://jisho.org/search/音%23kanji">音 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
暗	2	target	日音	アン,くら.い,くら.む,くれ.る	アン、くらい	pimeä, hämärä; synkkä	暗い[くらい] (yleisyys: 1796.)	暗い・くらい	pimeä; synkkä	暗記する・あんきする	opetella ulkoa												Merkin vetojen lukumäärä: 13 <br> <a href="https://jisho.org/search/暗%23kanji">暗 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
楽	2	target	&CDP-89AE;白木	ガク,ラク,ゴウ,たの.しい,たの.しむ,この.む	たのしい、ガク	musiikki; mukava, hauska, iloinen; mukava, helppo	楽しい[たのしい] (yleisyys: 746.),楽しむ[たのしむ] (yleisyys: 792.),音楽[おんがく] (yleisyys: 849.),楽しみ[たのしみ] (yleisyys: 1760.),楽[らく] (yleisyys: 1928.)	楽しい・たのしい	hauska, mukava, iloinen, onnellinen														Merkin vetojen lukumäärä: 13 <br> <a href="https://jisho.org/search/楽%23kanji">楽 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
女	2	target	女	ジョ,ニョ,ニョウ,おんな,め	ジョ,おんな	nainen	彼女[かのじょ] (yleisyys: 217.),女性[じょせい] (yleisyys: 264.),女[おんな] (yleisyys: 307.),女子[じょし] (yleisyys: 1442.),女の子[おんなのこ] (yleisyys: 1465.)	女・おんな	nainen	女の子・おんなのこ	tyttö	男女・だんじょ	miehet ja naiset	女性・じょせい	naishenkilö, naispuolinen								Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/女%23kanji">女 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
子	2	target	子	シ,ス,ツ,こ,-こ,ね	シ、こ	lapsi	子供[こども] (yleisyys: 149.),子[こ] (yleisyys: 289.),様子[ようす] (yleisyys: 846.),息子[むすこ] (yleisyys: 1113.),原子[げんし] (yleisyys: 1294.)	子ども・こども	lapsi	男子・だんし	poika	女子・じょし	tyttö										Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/子%23kanji">子 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
好	2	target	女子	コウ,この.む,す.く,よ.い,い.い	このむ、すき	pitää jostakin; mieluinen	好き[すき] (yleisyys: 353.),格好[かっこう] (yleisyys: 1527.),大好き[だいすき] (yleisyys: 2015.),好み[このみ] (yleisyys: 2579.),好む[このむ] (yleisyys: 3349.)	好き・すき	pitää jostakin, mieluinen	大好き・だいすき	pitää paljon jstkin, rakastaa, erittäin mieluinen	お好み焼き・おこのみやき	okonomiyaki (japanilainen ruokalaji)										Merkin vetojen lukumäärä: 6 <br> <a href="https://jisho.org/search/好%23kanji">好 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
男	2	target	田力	ダン,ナン,おとこ,お	ダン、おとこ	mies	男[おとこ] (yleisyys: 209.),男性[だんせい] (yleisyys: 708.),男女[だんじょ] (yleisyys: 1691.),男子[だんし] (yleisyys: 2273.),男の子[おとこのこ] (yleisyys: 2645.)	男・おとこ	mies	男の子・おとこのこ	poika	男性・だんせい	mieshenkilö, miespuolinen										Merkin vetojen lukumäärä: 7 <br> <a href="https://jisho.org/search/男%23kanji">男 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
口	2	target	口	コウ,ク,くち	コウ,くち	suu 	口[くち] (yleisyys: 403.),人口[じんこう] (yleisyys: 1071.),入り口[いりぐち] (yleisyys: 2372.),窓口[まどぐち] (yleisyys: 2671.),口調[くちょう] (yleisyys: 2812.)	口・くち	suu	人口・じんこう	väkiluku												Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/口%23kanji">口 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
目	2	target	目	モク,ボク,め,-め,ま-	モク,め,-め	silmä	目[め] (yleisyys: 162.),目[め] (yleisyys: 300.),目的[もくてき] (yleisyys: 433.),駄目[だめ] (yleisyys: 741.),目標[もくひょう] (yleisyys: 989.)	目・め	silmä	目的・もくてき	tavoite?	科目・かもく	kouluaine										Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/目%23kanji">目 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
手	2	target	手	シュ,ズ,て,て-,-て,た-	ズ,て,	käsi	手[て] (yleisyys: 177.),相手[あいて] (yleisyys: 299.),選手[せんしゅ] (yleisyys: 800.),手続き[てつづき] (yleisyys: 1119.),手紙[てがみ] (yleisyys: 1336.)	手・て	käsi	上手・じょうず	hyvä jossakin	下手・へた	huono jossakin										Merkin vetojen lukumäärä: 4 <br> <a href="https://jisho.org/search/手%23kanji">手 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
上	2	target	上	ジョウ,ショウ,シャン,うえ,-うえ,うわ-,かみ,あ.げる,-あ.げる,あ.がる,-あ.がる,あ.がり,-あ.がり,のぼ.る,のぼ.り,のぼ.せる,のぼ.す,たてまつ.る	ジョウ、うえ、あがる、あげる 	yllä, ylös	上[うえ] (yleisyys: 167.),以上[いじょう] (yleisyys: 178.),上げる[あげる] (yleisyys: 229.),上[じょう] (yleisyys: 308.),上がる[あがる] (yleisyys: 838.)	上・うえ	yläpuoli, ylä-	年上・としうえ	vanhempi (ihminen)	上がる・あがる	nousta	上げる・あげる	nostaa								Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/上%23kanji">上 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
下	2	target	下	カ,ゲ,した,しも,もと,さ.げる,さ.がる,くだ.る,くだ.り,くだ.す,-くだ.す,くだ.さる,お.ろす,お.りる	した、さげる、さがる、ください	alla, alas	下さる[くださる] (yleisyys: 125.),下[した] (yleisyys: 469.),以下[いか] (yleisyys: 485.),下[もと] (yleisyys: 855.),下りる[おりる] (yleisyys: 1343.)	下・した	alapuoli, ala-	年下・としした	nuorempi (ihminen)	下がる・さがる	aleta?	下げる・さげる　下さい・ください	laskea alas     saisinko								Merkin vetojen lukumäärä: 3 <br> <a href="https://jisho.org/search/下%23kanji">下 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
白	2	target	丿日	ハク,ビャク,しろ,しら-,しろ.い	しろ、しろい	valkoinen	面白い[おもしろい] (yleisyys: 785.),白い[しろい] (yleisyys: 1045.),白[しろ] (yleisyys: 1053.),蛋白[たんぱく] (yleisyys: 2811.),告白[こくはく] (yleisyys: 4025.)	白い・しろい	valkoinen	白黒・しろくろ	mustavalkoinen												Merkin vetojen lukumäärä: 5 <br> <a href="https://jisho.org/search/白%23kanji">白 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
黒	2	target	田土灬	コク,くろ,くろ.ずむ,くろ.い	コク、くろ、くろい	musta	黒[くろ] (yleisyys: 1003.),黒い[くろい] (yleisyys: 1835.),黒人[こくじん] (yleisyys: 4415.)	黒い・くろい	musta	黒板・こくばん	liitutaulu												Merkin vetojen lukumäärä: 11 <br> <a href="https://jisho.org/search/黒%23kanji">黒 Jisho-sanakirjassa</a>	Tähän voi kirjoittaa käsin lisätietoja	
