サンドイッチ kerrosvoileipä
ペルシア語 persia
プール uima-allas
配偶者 puoliso
さようなら hyvästi
ハム radioamatööri
もつ omistaa
アース maattaa
ライム limetti
筋肉 lihaskudos
倫理 etiikka
有益 hyödyllinen
そこ tuossa
地下 maanalainen
ジャージー jersey
ハム kinkku
くび kaula
しかし vaan
傭兵 palkkasoturi
シャボン玉 saippuakupla
ポップコーン paukkumaissi
まちがう tehdä virhe
外国人 ulkomaalainen
角度 perspektiivi
ビリヤード bilis
はと kyyhky
同性愛 homous
ハンマー投げ moukarinheitto
勤勉 raadanta
歯学 hammashoito
輝石 pyrokseeni
ガソリンスタンド huoltamo
滑り台 liukumäki
様 tuntua
うらぎりもの petturi
平行六面体 suuntaissärmiö
無産階級 työväenluokka
試薬 reagenssi
たとえる verrata
チェコ Tšekki
ジャム hillo
ラトヴィア語 latvia
そら taivas
かさ kehä
運転免許 ajokortti
有益 opettava
波長 aallonpituus
わさび wasabi
あたらしい uusi
盆地 valuma-alue
長方形 suorakulmio
延期 keskeytys
無限 päättymätön
半島 niemimaa
大罪 kuolemansynti
ナトリウム natrium
アメリカ合衆国 Amerikan Yhdysvallat
かためる kovettaa
角度 kulma
装置 laitteisto
擬声語 sana
調理 laittaa ruokaa
アフリカーンス語 afrikaans
キルギスタン Kirgisia
かお naama
やどや majatalo
家畜 karja
合金 lejeerinki
活性化エネルギー aktivoitumisenergia
土壌 multa
いう kertoa
生活費 elinkustannukset
かさ sateenvarjo
中性子星 neutronitähti
化粧品 ehostus
品詞 sanaluokka
印刷 painaa
明晩 huomisiltana
黒板 liitutaulu
かさ halo
全知 kaikkitietävyys
わるい huonotapainen
病院 sairaala
新年 uusivuosi
ふぶき lumimyrsky
アクラ Accra
狂犬病 raivotauti
死者 vainaja
無限 ääretön
マケドニア語 makedonia
農夫 farmari
ゲルマニウム germanium
救助 pelastaminen
へや huone
缶切り purkinavaaja
去勢 kuohia
南アメリカ Etelä-Amerikka
無知 tietämättömyys
いかり viha
阿片 oopiumi
共産主義 kommunismi
連鎖反応 ketjureaktio
ラドン radon
すむ asustaa
はさみ sakset
回転 roottori
なかゆび keskisormi
いかり ankkuri
液化 nesteytyminen
動物園 eläintarha
朝食 aamiainen
全員 jokainen
ハワイ語 havaiji
ねむる paapia
いう sanoa
ソフトクリーム pehmytjäätelö
約束 sana
探偵 yksityisetsivä
戦車 panssarivaunu
あたえる antaa
アルゴン argon
ジョン Juhana
デンマーク語 tanska
売春 huorata
千 tuhat
銀婚式 hopeahäät
かた hartia
事故 sattuma
治癒 paraneminen
いりぐち sisäänkäynti
アース maadoittaa
統治 hallita
スペクトル spektri
去勢 kuohita
かう ostaa
日本 japanilainen
賃金 ansiotulo
パン屋 leipomo
オゾン層 otsonikerros
しらかば koivu
剣歯虎 sapelihammastiikeri
かたむき ulmakerroin
あさがお kiertokasvi
オランダ人 hollantilainen
なく itkeä
ビショップ lähetti
猥褻 säädytön
完了 loppu
迷路 labyrintti
眼振 nystagmus
自然 ympäristö
